ug_course,ug_specialization,interests,skills,ug_score
bsc,computer science engineering,technology,sql,68.4
bsc,computer science,government job,artistic creative skills; leadership,80
be btech,mechanical engineering,entrepreneurship; technology,artificial intelligence; excel; machine learning; programming; python,94.81
be btech,mathematics,data analytics,artificial intelligence; business knowledge; communication; machine learning; problem solving; programming language skills; python; risk management skills,94.05
bca,data science,data analytics; machine learning,analytical thinking; communication; leadership; problem solving; product knowledge; python; risk management skills,70
be btech,other,research; technology,cloud computing; communication; python,64.6
be btech,mechanical engineering,technology,analytical thinking; communication; critical thinking; data visualization; machine learning; problem solving; python; r; sql; writing,75
bsc,computer science,technology,artificial intelligence; c; communication; excel; interpersonal skills; java; leadership; linux; logical thinking; machine learning; negotiation; observation skills; python; sql,80.75
be btech,civil engineering,data science,active listening; analytical thinking; artistic creative skills; business knowledge; communication; critical thinking; data visualization; leadership; people management; presentation; problem solving; programming language skills; python; sql,50
bcom,economics,financial analysis,accounting; editing,69.065
be btech,mechanical engineering,research; technology,active listening; communication; programming language skills,60
be btech,computer science engineering,teaching; technology; trading,designing skills; problem solving; product knowledge; python,62
msc,geology,government job,c,78.85
bsc,computer science engineering,technology,c; designing skills; ios; problem solving; programming; team work,71
journalism,media and communication,content writing; research; teaching,active listening; business knowledge; communication; human resources; mass communication,71.725
be btech,automobile engineering,entrepreneurship; human behavior; social justice; technology,business knowledge; critical thinking; java; leadership; people management; product knowledge; risk managing; team work; work under pressure,74.765
mba,finance,financial analysis; government job; human behavior,accounting; data visualization; hardware; product knowledge,76
be btech,information technalogy,technology,excel; java; python; sql,64
be btech,computer science engineering,data science; digital marketing; web development,artificial intelligence; aws; c; cloud computing; content creation; data visualization; java; machine learning; presentation; python; r; sql,86.45
be btech,mechanical engineering,information technology; research; supply chain; technology,active listening; analytical thinking; communication; critical thinking; designing skills; java; negotiation,70.62
be btech,electrical and electronics engineering,data science,python,71.7
be btech,engineering,entrepreneurship; operations; research; sales and marketing,analytical thinking; critical thinking; excel; interpersonal skills; market research; people management; problem solving; product knowledge; sales; team work; work under pressure,70.11
be btech,computer science engineering,technology,no,65.55
be btech,electrical and electronics engineering,entrepreneurship; technology,active listening; excel; logical skills interpersonal skills; presentation; programming; reading; teamwork; work under pressure,68.4
be btech,mechanical engineering,blockchain; construction; construction management; content writing; data analytics; data science; digital marketing; financial analysis; journalism; market research; research; sales and marketing; salesforce; social justice; social media marketing; technology; web design; web development,active listening; artistic creative skills; c; critical thinking; gathering information; interpersonal skills; leadership; negotiation; presentation; programming language skills; python; social media marketing; sql,78.185
bcom,computer applications,data analytics; data science; gaming; human behavior; sales and marketing; technology; web development,accounting; analytical thinking; business knowledge; client management; gathering information; problem solving; product knowledge; programming language skills; python; sales; social media marketing; sql,56
bcom,accounting and finance,entrepreneurship; financial analysis,business knowledge; gathering informing,76
bcom,business administration,sales and marketing,leadership,76
bcom,commerce,journalism,writing,92.15
bcom,commerce,journalism,writing,66.5
be btech,mechanical engineering,design,cad cae autocad catia ansys proe seimensnx,77.9
be btech,civil engineering,data analytics; data science; technology,analytical thinking; python; sql,67
be btech,information technology,data analytics; data science; digital marketing; web design,architecture; artificial intelligence; aws; cloud computing; critical thinking; data visualization; java; problem solving; programming language skills; python; sql,87.4
bca,mathematics,data analytics; data science; financial analysis; research; social justice; social media marketing; web development,analytical thinking; architecture; artificial intelligence; cloud computing; critical thinking; data visualization; editing; leadership; mass communication; matlab; people management; problem solving; python; sql,80.75
be btech,electrical and electronics engineering,software development,no,76.95
be btech,computer science engineering,software development,no,76
be btech,mechanical engineering,technology,excel; team work; work under pressure,55
mba,accounting and finance,financial analysis,business knowledge,66.5
be btech,biotechnology,research; technology,active listening; building rapport; interpersonal skills; leadership; team work,82.745
be btech,computer science engineering,technology,c; java; python; sql,69.73
be btech,computer science engineering,data science; service; social causes; technology,communication; leadership; problem solving; programming language skills,81.7
be btech,mechanical engineering,design,cad cae autocad catia ansys proe seimensnx,77.9
be btech,mechanical engineering,data analytics; technology; trading,active listening; analytical thinking; gathering information; programming language skills; python; r; sql,76
be btech,electrical engineering,human behavior; technology; web design; web development,business knowledge; communication; java; people management; programming language skills,73.91
be btech,mechanical engineering,financial analysis; journalism; supply chain; technology,active listening; communication; critical thinking; designing skills; editing; finance related skills; interpersonal skills; leadership; mass communication; negotiation; people management; presentation; problem solving; product knowledge; risk management skills,80.75
be btech,electrical and electronics engineering,higher studies,no,70.3
be btech,mechanical engineering,data analytics; data science; gaming; government job; industry; web design,active listening; analytical thinking; communication; critical thinking; hardware; interpersonal skills; leadership; mass communication; negotiation; presentation; product knowledge; python,64.41
be btech,mining engineering,industry; social justice; technology,hardware; product knowledge,84
be btech,electronics and communication engineering,teaching,active listening; presentation; reading; team work; work under pressure,76
bsc,mathematics,data analytics; data science; market research; research; social causes,active listening; analytical thinking; c; critical thinking; editing; gathering information; java; matlab; problem solving; r; risk management skills; writing,74.1
be btech,electrical and electronics engineering,cloud computing; cyber security; data analytics; machine learning; technology,cyber security; information security; siem; soc; software development life cycle sdlc,71.82
be btech,information technalogy,technology,java; programming,68
be btech,electrical and electronics engineering,financial analysis; technology,analytical thinking; business knowledge; communication; editing; excel; interpersonal skills; leadership; logical thinking; people management; presentation; problem solving; product knowledge; reporting; risk managing; subject knowledge; team work,82.46
bca,electronics and telecommunication engineering,sales and marketing,c; designing skills; hospitality; leadership; writing,60
bcom,computer science engineering,sales and marketing,building rapport; excel; leadership; product knowledge; sales; subject knowledge; team work,73.15
bca,engineering,gaming; web design; web development,critical thinking; editing; programming language skills; writing,66
be btech,programming,higher studies,autocad; catia; communication; excel; interpersonal skills; leadership; presentation; subject knowledge; team work,80.75
be btech,marketing,blockchain; technology,c,88
be btech,programming,gaming; product lifecycle management; research; technology,analytical thinking; critical thinking; problem solving; product knowledge,73
be btech,mechanical engineering,digital marketing; sales and marketing; social media marketing,active listening; communication; critical thinking; designing skills; presentation; problem solving; sales; social media marketing; writing,73.67
be btech,electronics and communication engineering,app development,analytical thinking; communication; excel; gathering informing; interpersonal skills; logical thinking; problem solving; product knowledge; programming; sql; team work,74
be btech,chemical engineering,financial analysis,dcf valuation; equity valuation; financial analysis; financial modeling; generally accepted accounting principles gaap; m a analysis,79.99
be btech,design,technology,communication; linux; programming,75
be btech,electronics and communication engineering,design,active listening; analytical thinking; artistic creative skills; designing skills,71.25
bcom,computer science engineering,entrepreneurship,accounting; interpersonal skills; presentation,83
be btech,electronics and communication engineering,design; government job; industry; technology,active listening; communication; editing; machine learning,63.65
be btech,mechanical engineering,technology,artificial intelligence; machine learning; python,71.25
be btech,accounting and finance,entrepreneurship; teaching; technology,business knowledge; interpersonal skills; leadership; news gathering; presentation; problem solving; team work,65
be btech,mechanical engineering,research,communication; team work,58.9
be btech,computer science engineering,technology,artificial intelligence; machine learning; python; sql,69
bsc,physics,entrepreneurship; financial analysis; human behavior; research; social justice; trading,analytical thinking; critical thinking; logical thinking; machine learning; presentation; programming; python; r; sql; subject knowledge; team work,64.6
be btech,electronics and communication engineering,design; market research,business knowledge; designing skills; machine learning; problem solving; product knowledge,85.5
bba,electronics and communication engineering,financial analysis,accounting; finance related skills; leadership; presentation; problem solving,56
bsc,statistics,data analytics; data science; government job; web development,active listening; analytical thinking; c; editing; gathering information; machine learning; programming language skills; python; sql; writing,76
mtech,design,data science,analytical thinking; cad cae autocad catia ansys proe seimensnx; construction management,74
bcom,finance,content writing; design; financial analysis; government job; human behavior; human biology; interior design; research; social causes; supply chain; technology,accounting; architecture; artistic creative skills; business knowledge; c; communication; content creation; designing skills; editing; mass communication; presentation; problem solving; python; writing,80
be btech,computer science,financial analysis,c; communication; reading; subject knowledge,75.81
bba,civil engineering,entrepreneurship; sales and marketing; trading,creativity skills; sales,64
bsc,accounting designing,data analytics; research; technology,artistic creative skills; communication; critical thinking; designing skills; gathering information; leadership; programming language skills; python; sql; wealth management,70
be btech,mechanical engineering,data analytics; data science; government job; human behavior; interior design; market research; research; retail; social media marketing; technology; web development,accounting; active listening; communication; data visualization; designing skills; hardware; human resources; programming language skills; python; sql; writing,73.47
bsc,business administration,interior design,designing skills,60
be btech,computer science engineering,blockchain; digital marketing; gaming; information technology; web development,ansible; dns; git; ibm aix; jenkins; linux; nagios; puppet; python; shell scripting; ssh,82.27
bcom,electrical and electronics engineering,financial analysis; government job,accounting; active listening; analytical thinking; artistic creative skills; business knowledge; communication; critical thinking; finance related skills; human resources; leadership; people management; problem solving; writing,77.9
be btech,nutrition,journalism; research; teaching; technology,artificial intelligence; c; communication; creativity skills; java; leadership; linux; machine learning; observation skills; problem solving; product knowledge; programming; python; reporting; risk managing; sql; work under pressure; writing,79.8
be btech,computer science engineering,technology,programming,84.55
journalism,commerce,content writing; journalism; social media marketing,analytical thinking; content creation; mass communication; people management; problem solving; social media marketing; writing,70
be btech,computer science engineering,data science; technology,artificial intelligence; c; communication; critical thinking; data visualization; java; machine learning; presentation; programming language skills; python; sql,66.5
be btech,automobile engineering,machine learning,python; sql,67
be btech,media and communication,software development,machine learning; python; r; sql,67
be btech,computer science engineering,technology,machine learning; python; r; sql; tableau,67
be btech,aerospace engineering,data analytics; data science; financial analysis; research,active listening; business knowledge; designing skills; leadership,64.6
be btech,aerospace engineering,data analytics; data science; financial analysis; research; web development,active listening; business knowledge,64.6
be btech,electrical and electronics engineering,technology,pgdca,78.85
be btech,computer science engineering,technology,programming,66.5
bcom,computer science,content writing,artistic creative skills; content creation,75
be btech,mechanical engineering,data analytics; human behavior; research; sales and marketing; social justice; technology,analytical thinking; cloud computing; communication; critical thinking; machine learning; product knowledge; programming language skills; python; sql,50
bsc,computer science engineering,data analytics; government job; trading; web design,analytical thinking; data visualization; editing; java; machine learning; programming language skills; python,62.94
be btech,computer science engineering,technology,analytical thinking; artificial intelligence; artistic skills; building rapport; c; communication; creativity skills; critical thinking; designing skills; excel; gathering informing; java; leadership; linux; machine learning; mass communication; negotiation; presentation; problem solving; product knowledge; programming; python; reading; sql; subject knowledge; tableau; team work; work under pressure; writing,79.705
be btech,electronics and communication engineering,technology; web design; web development,active listening; business knowledge; c; communication; content creation; hardware; java; machine learning; matlab; people management; presentation; programming language skills; python; sql; writing,57
mcom,accounting and finance,entrepreneurship; financial analysis,accounting; business knowledge; communication; cost accounting; leadership; market research,61.75
be btech,electronics and communication engineering,data analytics,no,76
be btech,computer science engineering,data science,active listening; analytical thinking; communication; critical thinking; data visualization; presentation; problem solving,75
be btech,electronics and communication engineering,data analytics; data science; technology,active listening; analytical thinking; communication; critical thinking; finance related skills; gathering information; leadership; machine learning; negotiation; problem solving; programming language skills; python; sql,78.85
bcom,commerce,financial analysis,communication; problem solving; team work; work under pressure,70.3
be btech,electrical and electronics engineering,higher studies,no,72.2
be btech,electrical and electronics engineering,software development,no,85.5
be btech,computer science,data analytics; research; teaching,leadership; sql,70
bsc,computer science engineering,data analytics; digital marketing; financial analysis; research; technology,active listening; analytical thinking; critical thinking; data visualization; gathering information; people management; presentation; programming language skills; python,86.64
be btech,computer science engineering,data analytics; data science; technology; web design,active listening; c; cloud computing; java; programming language skills; python; sql,71
be btech,electronics and communication engineering,technology; vlsi,core skills; programming,75.05
be btech,electrical engineering,data science; sales and marketing,active listening; business knowledge; leadership; machine learning; people management; product knowledge; r; sales,60
bsc,computer science engineering,teaching,c,85.595
bsc,animation,animation,animation,71.25
bcom,accounting and finance,data analytics; financial analysis; technology,active listening; analytical thinking; business knowledge; gathering information; people management; product knowledge,70
be btech,civil engineering,construction,creativity skills; reading; reporting; risk managing; subject knowledge,77.9
pharmacy,pharmacy,social causes,civil criminal law; people management,88
be btech,marketing,technology,artificial intelligence; machine learning; python,74.1
bcom,computer applications,financial analysis,accounting,62.7
be btech,civil engineering,construction; urban planning,etabs; proeficiency in software like staad pro,70.3
be btech,civil engineering,design; financial analysis; industry; project management; urban planning,communication; etabs; leadership; negotiation; proeficiency in software like staad pro,66.88
mtech,computer science engineering,human behavior; human biology; teaching; technology,java; python; sql,73.435
bsc,statistics,entrepreneurship; human behavior; research; teaching,artificial intelligence; editing; machine learning; market research; team work,88
ba,hindi education and geography,data analytics; financial analysis; government job; human behavior; human biology,client management; problem solving; product knowledge,79
bca,software engineering,data analytics; data science; government job; technology; trading; web design,artistic creative skills; c; data visualization; designing skills; editing; gathering information; hardware; programming language skills; python; sql,80
ma,kathak dance,government job; teaching,artistic creative skills; teaching,55
be btech,mechanical engineering,data analytics; data science; financial analysis; gardening; research; teaching; technology; trading,analytical thinking; communication; data visualization; leadership; machine learning; mass communication; negotiation; programming language skills; python; r; risk management skills; sql; teaching,60
be btech,electrical and electronics engineering,software development,no,85.5
be btech,automobile engineering,research,analytical thinking; critical thinking; designing skills; excel; interpersonal skills; leadership; logical thinking; observation skills; presentation; subject knowledge; team work; work under pressure,87.4
be btech,biotechnology,biotechnology; human biology; research,molecular biology; structural biology nucleic acid protein interactions data analysis,74.195
be btech,civil engineering,construction; construction management; urban planning,etabs; proeficiency in software like staad pro,77.9
be btech,computer science engineering,entrepreneurship; technology,leadership; presentation; programming; team work,77.9
be btech,mechanical engineering,research; technology,artificial intelligence; data visualization; machine learning; python,61.75
bsc,mathematics,financial analysis; journalism; social justice; teaching,analytical thinking; artificial intelligence; critical thinking; logical thinking; machine learning; observation skills; problem solving; python; r; reading; tableau; team work,74.955
bsc,biology,data analytics; financial analysis,accounting; active listening; analytical thinking; business knowledge; communication; critical thinking; finance related skills; machine learning; people management,80
bsc,zoology,technology,c; editing; medical knowledge; writing,67
ballb,law,legal services,civil criminal law,74.86
be btech,electrical and electronics engineering,data analytics; data science,communication; data visualization; machine learning; presentation; problem solving; python; sql; writing,66.88
be btech,computer science engineering,social media marketing; technology; web design,c; java; programming language skills; python; r,84.55
be btech,computer science engineering,software development,java; python; sql,72.105
be btech,mechanical engineering,data analytics; government job; research; teaching; trading,analytical thinking; data visualization; machine learning; python; r; sql,72
be btech,civil engineering,entrepreneurship; financial analysis; research; technology,active listening; analytical thinking; artificial intelligence; communication; critical thinking; leadership; machine learning; market research; programming; python; sql; tableau; team work,82.3
bba,management,gaming; sales and marketing; service; supply chain,active listening; business knowledge; critical thinking; people management; problem solving; risk management skills,71.25
be btech,mechanical engineering,sports industry,gathering information,56
mtech,aerospace engineering,financial analysis; human behavior; research; technology,client management; communication; leadership; mass communication; people management; problem solving; risk management skills,73.5
bcom,accounting and finance,entrepreneurship; financial analysis; human behavior; trading,accounting; business knowledge; communication; cost accounting; editing; excel; gathering informing; logical thinking; market research; people management; presentation; problem solving; reading; risk managing; sales; subject knowledge; team work; wealth management; writing,69.16
be btech,electronics and communication engineering,data science; technology,aws; machine learning; programming language skills; python; sql,67
ba,general studies,content writing; market research; social media marketing; supply chain; trading,active listening; business knowledge; communication; negotiation; product knowledge; writing,49
be btech,mechanical engineering,data analytics,analytical thinking; artistic creative skills; communication; gathering information; java; leadership; people management; problem solving; programming language skills; risk management skills; sql,58.9
bsc,computer science,data science,active listening; artificial intelligence; communication; data visualization; machine learning; medical knowledge; programming language skills; python; sql; writing,65
be btech,computer science engineering,entrepreneurship; technology; trading,active listening; analytical thinking; artificial intelligence; c; communication; critical thinking; editing; excel; java; leadership; linux; logical thinking; machine learning; observation skills; oracle; problem solving; programming; python; r; sql; work under pressure,89.3
be btech,electrical and electronics engineering,technology,power system engineering,78.85
be btech,computer science,data analytics; financial analysis; gaming; research; technology; web design,active listening; analytical thinking; architecture; artificial intelligence; artistic creative skills; business knowledge; c; cloud computing; critical thinking; data visualization; designing skills; gathering information; java; linux; machine learning; problem solving; product knowledge; programming language skills; python; r; risk management skills; sql; writing,80.085
journalism,media and communication,content writing; digital marketing; gaming; government job; journalism; social media marketing; technology,active listening; architecture; cloud computing; communication; content creation; editing; hospitality; human resources; java; leadership; mass communication; medical knowledge; negotiation; social media marketing; writing,78
be btech,computer engineering,data analytics; data science; technology,analytical thinking; artificial intelligence; client management; cloud computing; communication; data visualization; leadership; machine learning; matlab; presentation; problem solving; product knowledge; programming language skills; python; r; sql; wealth management; writing,66.975
be btech,mechanical engineering,entrepreneurship; financial analysis; social justice; trading,active listening; analytical thinking; communication; critical thinking; excel; gathering informing; machine learning; python; sql; team work,68.875
be btech,biotechnology,biotechnology; human biology; research,biochemistry; life science molecular biology genetics; polymerase chain reaction pcr; protein expression,66.595
be btech,computer science engineering,cloud computing; data analytics; machine learning,aws sql; java,81.7
mba,hospital administration,financial analysis; sales and marketing; supply chain,communication; leadership; negotiation; problem solving; product knowledge,70
pharmacy,marketing,sales and marketing,communication; negotiation; people management,66.5
bba,management,product lifecycle management; sales and marketing; sap mm,client management; leadership; risk management skills; wealth management,67.545
bcom,commerce,data analytics; data science; digital marketing; gaming; web design,data visualization; designing skills; editing; machine learning; python; r; risk management skills; sql,72
bcom,commerce,data analytics; data science; digital marketing; gaming; research; sales and marketing; teaching; technology; trading; web design,c; designing skills; editing; problem solving; python; r; risk management skills; sql,72
commercial art visual art,architecture,research,architecture,60
be btech,information technology,data analytics; human behavior; technology; web development,artistic creative skills; gathering information; hardware; human resources; java; programming language skills,82.65
bcom,finance,financial analysis; sports industry,accounting; active listening; analytical thinking; critical thinking; finance related skills; mass communication; problem solving; risk management skills; social media marketing,60
be btech,civil engineering,financial analysis; government job; project management,project management,72.2
be btech,electrical and electronics engineering,entrepreneurship; technology,creativity skills; leadership; market research; programming; teamwork,71.25
bsc,physics,government job,artistic creative skills; editing; social media marketing,70
be btech,mathematics,financial analysis; human behavior; teaching,accounting; business knowledge,63.65
be btech,computer science engineering,financial analysis; gaming,active listening; communication; java; linux; people management; product knowledge; programming language skills,70.7
bcom,mathematics,human behavior; sales and marketing; trading,analytical thinking; artistic creative skills; editing; writing,60
be btech,mechanical engineering,product lifecycle management; technology; trading,business knowledge; client management; communication; gathering information; leadership; people management; problem solving; product knowledge; risk management skills,76
bca,programming,design; gaming; navy defence related,artistic creative skills; communication; designing skills; editing; python,78
bba,business administration,human resources; market research,human resources,80.75
be btech,instrumentation engineering,entrepreneurship,writing,60.895
bcom,accounting and finance,financial analysis,accounting; cost accounting; financial management; taxation,72.58
bcom,marketing,digital marketing; government job; human behavior; journalism; research; social justice; technology,active listening; artistic creative skills; communication; gathering information; medical knowledge; negotiation,58
be btech,electrical and electronics engineering,data science; technology; trading,active listening; critical thinking; hardware; mass communication; programming language skills,67
be btech,electrical and electronics engineering,government job; infrastructure; social causes; technology; trading,analytical thinking; business knowledge; critical thinking; risk management skills,63
be btech,electronics and communication engineering,data analytics; financial analysis; technology,analytical thinking; data visualization; machine learning; python; sql,80
be btech,electronics and communication engineering,data analytics; financial analysis; technology,active listening; analytical thinking; artificial intelligence; business knowledge; communication; critical thinking; data visualization; machine learning; programming language skills; python; sql,80
bsc,computer science engineering,entrepreneurship; human behavior; sales and marketing; technology,c; java; logical thinking; oracle; programming; python; sales; sql; writing,71
be btech,electronics and communication engineering,entrepreneurship; research; technology,business knowledge; communication; designing skills; editing; interpersonal skills; leadership; logical thinking; mass communication; negotiation; presentation; problem solving; product knowledge; subject knowledge; team work; work under pressure; writing,81.13
be btech,electrical and electronics engineering,software development,no,73.15
be btech,automobile engineering,entrepreneurship,business knowledge; sales,65.55
be btech,computer science engineering,technology,communication; java; programming language skills; sql,64
be btech,electronics and communication engineering,content writing; data analytics; data science; gaming; gardening; market research; research; social justice; teaching; technology; web design,active listening; analytical thinking; artistic creative skills; business knowledge; c; communication; critical thinking; data visualization; designing skills; editing; gathering information; hospitality; human resources; java; leadership; machine learning; mass communication; matlab; negotiation; people management; presentation; problem solving; programming language skills; python; risk management skills; sql; writing,75
be btech,electronics and telecommunication engineering,data analytics; financial analysis,analytical thinking; artificial intelligence; communication; critical thinking; data visualization; designing skills; finance related skills; interpersonal skills; leadership; negotiation; presentation; problem solving; programming language skills; python; teaching,67
be btech,electrical and electronics engineering,technology,building rapport; excel; reading; reporting; sql; subject knowledge; writing,86.45
be btech,mechanical engineering,technology,analytical thinking; designing skills; leadership; product knowledge; python,71.98
mtech,computer science engineering,data analytics; data science; technology,analytical thinking; cloud computing; critical thinking; machine learning; programming language skills; python; sql,76.95
be btech,computer science engineering,data analytics; technology,analytical thinking; machine learning; programming language skills; python,79
be btech,electrical and electronics engineering,data analytics; gaming; human behavior; social justice; technology,analytical thinking; artificial intelligence; c; cloud computing; communication; critical thinking; data visualization; machine learning; matlab; programming language skills; python; r; sql; writing,83.695
ballb,law,legal services,civil criminal law,67.64
be btech,mechanical engineering,data analytics; data science; oil and gas; technology,excel; machine learning; product knowledge; programming language skills; python; risk management skills,64.81
be btech,mechanical engineering,research; technology,cad cae autocad catia ansys proe seimensnx,85.025
be btech,mechanical engineering,technology,no,76
be btech,chemical engineering,industry,problem solving; process safety management,78.85
be btech,accounting and finance,financial analysis; financial law,accounting; accounts receivable; back reconciliation; budgeting; business analysis; business development; business management; business planning; business strategy; consulting; corporate finance; financial analysis; financial forecasting; financial metrics; financial modeling; financial planning; financial reporting; financial structuring; forecasting; management; managerial finance; marketing; strategic planning; team management; teamwork,66.5
bba,marketing,entrepreneurship; sales and marketing; trading,active listening; business knowledge; critical thinking; gathering informing; leadership; team work,75.05
journalism,political science,content writing; government job; journalism; research,artistic creative skills; communication; editing; mass communication; people management; writing,58.5
bba,accounting and finance,financial analysis,accounting; analytical thinking; business knowledge; cost accounting; gathering informing; python; sales,87.21
be btech,automobile engineering,entrepreneurship; journalism; research; sales and marketing,active listening; analytical thinking; business knowledge; communication; cost accounting; critical thinking; gathering informing; leadership; negotiation; news gathering; observation skills; people management; product knowledge; risk managing; wealth management; work under pressure,76
be btech,automobile engineering,technology,team work,79.8
bca,computer applications,entrepreneurship; human behavior; human biology; technology,building rapport; creativity skills; critical thinking; editing; gathering informing; interpersonal skills; java; team work,66
bsc,agriculture,research; teaching,excel; presentation; python; subject knowledge; writing,86
be btech,mechanical engineering,design; industry,cad cae autocad catia ansys proe seimensnx,86.45
barch,architecture,architecture and construction; human behavior; research; sales and marketing,active listening; architecture and construction; artificial intelligence; business knowledge; communication; critical thinking; designing skills; gathering informing; leadership; negotiation; news gathering; people management; product knowledge; work under pressure,71.25
bsc,mathematics,financial analysis; research; supply chain; technology,analytical thinking; artificial intelligence; critical thinking; data visualization; machine learning; python,76
bsc,mathematics,financial analysis; technology,analytical thinking; artificial intelligence; machine learning; python; tableau,80
bsc,mathematics,data analytics; teaching,analytical thinking; artificial intelligence; programming language skills; sql,60
be btech,mechanical engineering,technology,ccna; cost accounting; creativity skills; editing; excel; leadership; linux; market research; oracle; sql; team work; work under pressure,72.2
ba,political science,financial analysis; sales and marketing; trading,accounting; business knowledge; gathering informing; people management,53.2
be btech,mechanical engineering,technology,analytical thinking; negotiation; team work,77
be btech,mechanical engineering,data analytics; data science; financial analysis,active listening; analytical thinking; artificial intelligence; business knowledge; data visualization; java; machine learning; product knowledge; programming language skills; python; sql,62.13
bcom,information technology,technology,communication; computer hardware; excel; l3 printer; leadership; microsoft windows; negotiation; networking,58
bcom,accounting and finance,data analytics; financial analysis; sales and marketing,accounting; active listening; business knowledge; client management; data visualization; editing; gathering information; leadership; people management; problem solving; sql,75.05
be btech,electrical and electronics engineering,government job; information technology; service; technology; web development,communication; java; problem solving; programming language skills; sql,64.6
mba,human resources,digital marketing; market research; public speaking; research; sales and marketing; teaching; technology; trading,active listening; analytical thinking; hardware; human resources; people management; programming language skills,78.75
be btech,electronics and communication engineering,blockchain; design; digital marketing; industry; web design,critical thinking; leadership; machine learning; matlab; programming language skills,75
be btech,civil engineering,data analytics,analytical thinking; creativity skills; excel; presentation; programming; teamwork,73.15
be btech,electronics and communication engineering,content writing; digital marketing; gaming; market research,active listening; critical thinking; problem solving; teaching; writing,65.455
be btech,electronics and communication engineering,data analytics,c; javascript; python,76
be btech,mathematics,data analytics,programming language skills,71
be btech,mechanical engineering,financial analysis,critical thinking; negotiation; writing,69.35
be btech,mechanical engineering,product analysis; research,critical thinking; designing skills; excel; logical thinking; presentation; problem solving; product knowledge; work under pressure,74.7
be btech,data science,data analytics; data science; information technology; technology; trading,data visualization; leadership; python; sql,66.5
bcom,commerce,data analytics; financial analysis,accounting; active listening; data visualization; designing skills; editing; hardware; mass communication; problem solving; programming language skills; risk management skills; writing,89
be btech,mathematics,technology; trading,accounting; artistic skills; communication; designing skills; problem solving; python; sales; team work; writing,66.5
be btech,civil engineering,gaming,editing,66.5
be btech,electrical and electronics engineering,data analytics,analytical thinking; editing; matlab; python,63.49
be btech,automobile engineering,entrepreneurship; financial analysis; technology,communication; team work,71.25
ba,economics,data analytics; web design; web development,analytical thinking; communication; programming language skills; python,61.08
be btech,electrical and electronics engineering,teaching,problem solving,67.45
be btech,electrical and electronics engineering,data science; financial analysis; research; teaching; technology,active listening; c; communication; creativity skills; excel; interpersonal skills; leadership; logical thinking; mass communication; observation skills; people management; presentation; problem solving; programming; python; r; reading; reporting; risk managing; sql; subject knowledge; team work; wealth management; work under pressure; writing,70.585
bcom,commerce,entrepreneurship; financial analysis; human behavior; research; sales and marketing; teaching; technology; trading,accounting; active listening; artistic skills; business knowledge; communication; cost accounting; designing skills; editing; excel; interpersonal skills; leadership; people management; problem solving; programming; reading; sales; subject knowledge; team work; wealth management; writing,75
be btech,computer science engineering,technology,java; programming language skills,50
bsc,computer science engineering,technology,teaching,68.685
be btech,biotechnology,biotechnology; human biology; research,agarose gel electrophoresis; imagej and zen2012 softwares; immunochemistry immunocytochemistry; paper chromatography; sds page; thin layer chromatography tlc,84.455
ba,home science,content writing; gardening; government job; human behavior; infrastructure; interior design; research; social causes; social justice,active listening; analytical thinking; c; communication; content creation; critical thinking; editing; gathering information; leadership; people management; presentation; problem solving; programming language skills; risk management skills; writing,75.05
ma,english econamics,teaching,teaching,60
be btech,mechanical engineering,data analytics; gaming; research; technology; trading,active listening; analytical thinking; business knowledge; communication; critical thinking; data visualization; interpersonal skills; machine learning; negotiation; problem solving; programming language skills; python; sql,83.315
bca,programming,data analytics; data science; excel; information technology; machine learning; research; retail; supply chain; technology; trading; web design; web development,active listening; analytical thinking; c; cloud computing; critical thinking; gathering information; java; javascript; php; problem solving; product knowledge; programming language skills; python; sql,72.01
be btech,electrical engineering,data science,analytical thinking; communication; critical thinking; programming language skills; sql,67.94
bsc,mathematics,data science,analytical thinking; artificial intelligence; critical thinking; gathering information; python; sql,53
be btech,information technalogy,content writing,interpersonal skills; presentation; team work; work under pressure; writing,77.33
bba,management,entrepreneurship; financial analysis; human behavior; journalism,accounting; business knowledge; communication; critical thinking; excel; interpersonal skills; leadership; logical thinking; presentation; problem solving; reading; work under pressure; writing,71.25
bcom,commerce,financial analysis,accounting; active listening,60
ba,economics,data analytics; data science; financial analysis; research,analytical thinking; business knowledge; communication; critical thinking; data visualization; excel; problem solving,76
bcom,business administration,content writing; data analytics; gaming; human behavior; journalism; research; trading,accounting; active listening; analytical thinking; artistic creative skills; business knowledge; critical thinking; gathering information; hospitality; human resources; leadership; people management,89.3
be btech,computer science engineering,journalism; teaching; technology,java; wealth management,66
be btech,electronics and communication engineering,technology; vlsi,core skills; programming,69.35
be btech,electrical and electronics engineering,higher studies,no,80.75
bsc,computer science engineering,data analytics; data science; technology,analytical thinking; c; communication; java; leadership; machine learning; problem solving; programming language skills; python; sql,51
be btech,computer science engineering,information technology; service; social causes; teaching; technology,accounting; communication; critical thinking; java; people management,76
be btech,mechanical engineering,technology,communication; sql; team work,76
be btech,civil engineering,human resources,java; python; sql,77.995
be btech,mechanical engineering,industry; technology,cad cae autocad catia ansys proe seimensnx,70.3
bcom,accounting and finance,financial analysis,accounting,57
be btech,computer science engineering,data science; machine learning,c; data structures; database management system dbms; digital marketing; mysql; programming; python,70.87
bsc,computer science,data science,gathering information,60
