Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications
Physics,Music Teacher,4.868672570197967,0,2,3,0,8,0,1,0,4,0,3,0,4,0
Education,Biotechnologist,4.28654945860831,7,2,0,0,8,1,0,2,1,1,3,3,4,1
Business,Graphic Designer,4.47538827829492,2,0,2,0,3,0,3,1,2,0,1,3,4,1
Architecture,Biologist,4.360966024327043,9,0,4,0,8,1,0,4,0,1,0,0,3,0
Physics,Conductor,4.865785496908755,2,0,3,1,4,1,0,0,4,4,3,1,2,1
Law,Geneticist,3.368751254782679,3,1,1,0,5,0,3,4,2,3,2,2,3,0
Biology,Financial Analyst,2.673967308091973,1,1,0,1,5,0,0,3,1,2,3,4,4,1
Physics,Physicist,3.4593843286246466,7,1,0,1,6,1,3,2,4,4,2,3,0,1
Engineering,Software Developer,4.328733411311719,6,0,2,0,8,0,4,1,1,1,2,4,3,0
Finance,Cybersecurity Analyst,3.550561883531361,8,1,1,1,9,1,4,1,2,2,3,4,3,0
Art,Construction Manager,4.646658362494131,6,1,2,1,1,0,1,4,3,3,2,0,3,1
Education,School Counselor,3.7860561784491304,0,2,1,1,7,0,1,2,2,0,1,2,4,0
Music,Financial Analyst,3.112402614755199,6,2,3,0,8,1,0,2,2,2,1,0,4,0
Marketing,Market Research Analyst,4.701386226971325,2,0,1,1,6,0,2,1,4,3,2,1,2,0
Medicine,Illustrator,3.088255265209262,1,0,0,0,3,1,1,1,3,2,1,4,3,0
Chemistry,Fluid Mechanics Engineer,4.977363732036034,2,0,2,0,9,1,4,4,0,1,2,1,0,0
Art,AI Researcher,4.254055639556566,1,1,2,1,8,1,2,3,1,0,3,3,2,1
Physics,Cybersecurity Analyst,4.385819063094695,3,2,1,0,4,0,1,0,0,1,0,1,0,0
Music,Financial Controller,2.927425595230162,9,0,3,1,5,1,4,0,4,0,0,3,0,1
Finance,Physician Assistant,2.8550817946794025,9,2,3,0,2,1,4,0,3,3,4,0,4,0
Engineering,Marketing Specialist,4.488677402467879,9,0,1,1,6,1,0,1,3,4,0,3,1,0
Business,Physicist,3.685111123270036,6,0,0,1,8,0,2,4,2,1,3,2,2,1
Business,Acoustics Specialist,3.51208639697691,0,1,2,0,7,1,1,0,2,2,2,2,4,1
Art,Biologist,4.856427994511545,4,2,1,0,2,1,4,2,3,4,4,3,4,0
Education,Doctor,3.326756293047049,8,2,2,1,0,1,4,4,2,2,4,4,4,1
Computer Science,Nuclear Physicist,4.880376086902743,1,1,4,1,3,1,0,2,2,2,3,4,3,0
Education,Conductor,2.8347785841046975,9,1,4,1,1,0,0,3,4,2,1,1,1,1
Education,Credit Analyst,2.688542725688782,0,0,2,1,8,1,0,0,0,1,0,3,0,1
Business,Biotechnologist,2.697069248298038,0,1,4,0,2,1,3,4,3,2,3,1,3,0
Biology,Zoologist,3.2881338668885913,2,1,0,0,7,1,3,3,4,2,2,3,2,0
Computer Science,Manager,4.938795435170702,9,2,4,1,7,0,3,2,1,4,0,1,3,0
Finance,Microbiologist,4.251216022362191,7,2,4,0,4,1,4,3,2,4,4,3,0,1
Music,Dentist,3.877786259990259,7,0,1,0,7,1,2,1,1,1,2,3,0,0
Computer Science,Fluid Mechanics Engineer,2.939816511052861,9,2,4,1,5,0,1,2,1,0,3,3,1,1
Biology,Advertising Manager,4.57972145489185,5,1,3,0,2,1,1,3,2,1,0,1,4,0
Biology,Data Scientist,2.5104112774931426,9,0,4,0,9,0,3,1,3,1,2,4,4,0
Architecture,Human Resources Specialist,3.9281412596300624,5,0,1,0,4,1,3,1,2,0,2,4,1,0
Art,Paralegal,4.837089504310182,8,0,0,0,8,1,4,0,0,2,0,0,4,1
Psychology,Civil Engineer,4.855695535567991,9,0,0,1,4,0,1,3,0,4,0,4,1,0
Law,Chemist,4.574071443971197,3,0,2,0,1,1,1,2,1,4,4,3,3,0
Computer Science,Legal Analyst,4.5788579718820674,4,1,4,1,1,0,3,2,0,1,2,3,1,1
Psychology,Data Scientist,2.9206713270241207,1,1,3,1,8,0,3,3,0,3,0,3,0,0
Psychology,Astronomer,4.32709814317268,3,2,2,1,6,0,4,0,4,2,1,4,1,0
Computer Science,Marketing Specialist,3.970810725044678,2,2,2,1,6,0,2,2,2,2,1,4,1,1
Computer Science,Legal Secretary,4.661714876140335,8,1,3,0,5,1,3,4,1,0,4,3,4,1
Art,Construction Manager,3.0245405341067353,4,0,2,1,9,1,0,0,0,4,4,3,3,0
Computer Science,Curriculum Developer,4.40231016761842,0,1,0,1,8,0,3,2,3,3,4,4,1,0
Biology,Aerospace Engineer,2.888751790466595,0,2,3,0,8,1,2,2,4,1,4,1,2,0
Music,Education Administrator,4.309325594714413,2,2,1,0,2,1,4,0,2,1,4,1,1,0
Physics,Legal Analyst,4.132420433993593,7,1,0,1,8,1,1,1,2,3,2,2,2,1
Education,Market Research Analyst,3.6887241806395092,1,2,3,0,0,0,0,4,1,2,1,3,0,0
Chemistry,Clinical Psychologist,4.699641336370533,2,1,2,0,5,1,2,0,3,0,0,4,3,1
Marketing,Industrial-Organizational Psychologist,3.927827752596987,1,2,2,1,6,0,2,1,1,1,1,0,2,0
Biology,Astronomer,2.754617463186805,5,2,2,0,7,1,4,4,1,4,1,4,1,1
Medicine,Web Developer,3.3250348271628916,7,1,1,1,5,1,0,3,0,1,2,4,1,0
Art,Clinical Psychologist,4.994473073392409,3,2,4,1,6,1,4,4,4,2,0,1,0,0
Architecture,Legal Analyst,3.9209694339266408,9,2,2,0,6,0,0,1,3,0,3,2,4,0
Biology,Aerospace Engineer,2.782497890003063,8,0,0,0,4,0,4,1,2,0,2,4,3,1
Physics,Clinical Psychologist,4.11992274196975,9,2,4,1,6,0,1,2,3,2,0,0,2,0
Finance,Organic Chemist,4.5682883690591805,8,0,3,1,8,1,3,4,1,4,2,4,3,1
Finance,Analytical Chemist,4.595295258266095,4,0,0,0,8,1,0,2,4,4,1,2,3,0
Law,Forensic Psychologist,4.946648596355109,6,2,1,1,2,0,4,0,0,1,2,0,2,0
Art,Education Administrator,3.8885386849226053,5,1,0,1,9,1,1,0,4,2,2,3,4,0
Business,Astronomer,4.8107751312855545,8,2,2,0,9,1,3,4,1,0,2,3,0,1
Business,Composer,3.7035161006256976,6,2,2,1,8,0,1,0,4,4,2,3,3,0
Engineering,Human Resources Specialist,4.7373734929976,5,0,0,1,6,0,0,3,3,2,1,0,3,1
Art,Geneticist,2.9255179571432817,3,2,1,0,7,1,0,1,3,0,0,0,3,1
Marketing,Clinical Psychologist,3.2482282070409596,6,0,3,1,9,1,3,1,0,4,2,0,1,0
Biology,Quantum Physicist,4.360864801265128,9,1,1,1,1,0,1,2,0,2,0,0,0,0
Chemistry,Nuclear Physicist,4.415619340977001,8,2,3,1,4,0,4,3,3,3,3,3,2,1
Art,Organic Chemist,2.7071429785487666,0,2,2,1,8,0,3,1,2,3,4,1,1,0
Education,Data Scientist,4.180178711697037,0,2,2,1,5,1,0,4,4,4,2,2,1,0
Art,Brand Manager,4.100064424196082,5,0,2,1,0,1,1,2,1,3,1,0,2,0
Business,Lawyer,2.6562366431442883,0,1,1,1,1,0,1,2,2,1,2,2,0,1
Education,Surgeon,4.593949085888674,8,2,3,0,4,1,3,2,3,2,2,0,3,1
Music,Mechanical Engineer,4.710322730027718,3,1,2,1,4,0,4,0,4,4,4,0,1,0
Medicine,Music Therapist,3.2415857279903424,5,1,4,1,0,0,0,3,4,0,2,3,4,0
Psychology,Clinical Psychologist,2.9020681178415244,4,1,2,1,3,1,4,3,0,0,2,3,0,0
Art,Interior Designer,4.773778355610171,3,0,3,0,7,0,2,1,4,2,4,2,2,0
Music,Psychologist,4.179518982288629,1,0,2,1,4,0,2,4,4,1,1,3,1,0
Psychology,Mechanical Engineer,4.956886586899332,3,2,2,1,4,1,3,4,2,2,1,0,2,1
Business,Biotechnologist,4.306054992144096,5,2,3,0,0,1,1,4,0,1,4,2,1,0
Computer Science,Interior Designer,4.9116109552818745,6,2,4,1,5,0,1,4,3,3,4,1,1,0
Business,Architect,3.786022325171751,2,2,4,1,5,0,3,1,1,3,2,0,2,0
Music,School Psychologist,4.454727266249526,1,2,1,0,5,1,2,1,0,0,3,2,3,1
Biology,Entrepreneur,2.877416151209106,7,2,1,0,5,1,3,2,3,2,4,2,1,0
Physics,Curriculum Developer,3.73106605244113,5,1,0,0,1,0,2,2,0,2,3,4,2,0
Education,Marketing Manager,3.5857365235247443,7,0,0,0,6,1,3,2,4,4,4,0,2,1
Chemistry,Financial Controller,4.652525493035279,9,0,1,0,0,1,4,1,4,4,3,4,3,0
Marketing,Artist,2.612924444088323,0,0,2,1,7,0,2,4,4,0,2,3,3,1
Law,Mechanical Engineer,4.65477165089892,7,2,2,1,0,1,1,0,4,4,1,0,2,1
Engineering,Sound Engineer,3.3492748735029902,8,2,2,1,9,1,1,3,2,3,0,0,4,1
Education,Microbiologist,3.028505357687363,9,0,1,1,2,0,4,4,2,0,0,3,1,1
Marketing,Organic Chemist,3.8276815680257164,0,2,2,1,3,0,3,4,2,1,0,3,2,1
Physics,Financial Analyst,2.70185636635956,1,1,4,0,9,0,0,3,0,0,4,1,2,1
Finance,Clinical Psychologist,2.5166157319275047,8,2,1,1,0,0,3,3,3,2,3,1,0,1
Finance,Web Developer,4.219442821476791,5,2,2,1,1,1,2,3,4,1,2,3,3,1
Medicine,Chemical Engineer,4.09187918550268,9,1,0,1,7,1,3,3,3,4,4,1,0,1
Art,Urban Planner,2.7739400415359206,3,0,4,0,3,0,1,2,4,2,3,3,2,1
Psychology,Doctor,3.554167143974896,6,0,1,0,1,0,2,2,3,1,2,0,1,0
Education,Accountant,4.633573343511507,5,1,3,1,6,1,3,2,4,1,0,3,0,1
Marketing,Marketing Manager,3.434382784362136,6,0,4,1,7,1,3,4,2,1,3,0,3,0
Computer Science,Marketing Specialist,2.5573990620891243,4,2,3,0,0,1,1,2,2,0,0,3,1,1
Art,Chemist,3.188548646726819,4,1,3,1,8,1,2,1,3,3,0,3,2,1
Architecture,Legal Secretary,4.393559577484719,0,2,3,0,2,1,2,4,3,1,1,1,0,0
Biology,Investment Banker,4.76020513166579,4,0,4,0,6,0,2,1,2,2,2,3,3,1
Chemistry,Cybersecurity Analyst,4.729396777645674,7,1,1,1,4,1,0,3,2,4,3,2,2,1
Psychology,Physicist,3.879278162209014,9,1,4,1,4,0,2,2,0,2,2,0,1,1
Music,Teacher,4.385796774683391,8,0,1,1,6,0,0,3,2,3,2,2,0,0
Law,Interior Designer,3.4167685617027788,9,1,2,0,3,1,3,0,0,4,0,4,2,0
Architecture,Software Developer,3.582377981472768,2,1,2,0,1,1,4,4,0,3,1,4,2,0
Law,Chemist,3.399985073450562,3,0,1,1,4,1,4,4,1,1,3,0,0,1
Architecture,Biotechnologist,2.581816133818893,8,0,1,0,0,0,2,3,1,3,2,2,3,1
Marketing,Graphic Designer,3.5312560356543408,6,1,1,1,4,1,2,3,0,2,4,1,1,0
Physics,Fluid Mechanics Engineer,3.878551298573211,9,1,1,0,5,1,3,2,0,1,1,3,4,1
Law,Nuclear Physicist,3.2329157373128625,8,1,1,0,1,1,4,0,1,4,0,3,3,0
Marketing,Doctor,3.6228884707364286,2,1,3,1,5,0,2,2,4,1,4,4,2,0
Finance,Quantum Physicist,3.244835433108279,6,0,2,1,5,1,0,3,1,3,3,1,0,0
Engineering,Fluid Mechanics Engineer,3.9235683036074067,0,1,0,0,8,0,4,2,1,2,0,2,0,1
Finance,Aerospace Engineer,4.347510490063903,2,0,4,1,2,0,3,2,0,2,1,1,2,0
Art,Dentist,3.1054941314914792,5,1,4,0,3,0,0,2,2,3,2,3,4,0
Law,Biotechnologist,2.5900661263313873,4,0,4,1,5,0,1,2,3,3,0,4,0,0
Medicine,Social Media Manager,3.042096027397836,9,0,4,1,1,0,3,0,0,2,2,0,3,1
Computer Science,Principal,3.850776672399934,1,0,4,0,5,0,0,3,3,2,3,0,0,0
Law,Fluid Mechanics Engineer,4.719442543422943,7,1,1,1,9,0,1,4,1,0,0,0,1,1
Marketing,Geneticist,2.885143814830658,7,0,4,0,1,0,1,0,2,0,4,4,3,0
Art,Judge,4.837437922747123,5,1,2,0,6,1,2,1,1,3,0,2,4,0
Computer Science,Financial Analyst,4.075345160360156,5,2,0,0,7,1,1,3,2,4,1,2,0,0
Physics,Special Education Teacher,2.9036245966265795,3,0,0,0,9,0,4,1,4,1,3,1,1,1
Business,Cybersecurity Analyst,4.996319123572646,1,0,1,1,3,0,4,0,0,4,0,0,1,1
Medicine,Physicist,4.040635819668776,9,2,0,1,6,0,1,4,4,3,0,0,3,1
Business,Teacher,4.589660869051876,1,0,2,0,8,1,3,1,1,4,3,2,1,0
Law,Accountant,4.587296104797043,4,0,2,1,1,1,3,1,3,1,3,1,1,1
Biology,Acoustics Specialist,4.693269424705855,5,1,0,0,2,1,2,1,0,1,3,2,0,0
Engineering,Art Therapist,4.095901302688066,0,0,1,1,4,1,2,3,0,4,4,3,4,1
Physics,Biochemist,3.1572944393551947,8,2,2,0,7,1,4,1,2,4,1,3,0,0
Education,Ecologist,3.3246263982081334,5,0,1,0,4,0,2,2,2,0,4,4,3,1
Art,Astronomer,4.9284518902795185,9,0,2,1,7,0,3,4,2,4,1,4,1,1
Law,Musician,2.547565098271048,5,0,0,0,3,0,4,3,2,1,0,0,2,1
Engineering,Social Media Manager,3.0744837448745583,2,1,1,1,8,1,2,3,0,3,1,3,3,0
Chemistry,Composer,4.017223376667922,2,2,0,0,2,1,2,1,1,4,2,2,2,1
Marketing,Astronomer,4.328533819509249,2,0,4,1,7,1,0,4,4,2,0,0,3,1
Law,Investment Banker,4.946000654779362,9,1,2,1,8,1,1,0,1,3,4,2,3,0
Medicine,Zoologist,4.757438667960246,9,2,1,1,3,0,3,0,2,4,2,1,1,1
Finance,Electrical Engineer,4.5161458328033595,5,0,2,0,1,1,0,4,1,3,1,1,4,1
Engineering,Brand Manager,3.6094707990734483,5,2,4,0,7,1,4,4,0,0,1,1,4,1
Engineering,Physicist,4.769585550978272,2,1,0,1,7,1,1,4,2,0,2,0,4,0
Computer Science,Social Media Manager,3.1363828074577627,6,0,0,1,3,1,1,4,0,1,3,3,3,0
Law,Biologist,4.21934742871062,2,1,0,0,0,0,0,2,1,3,3,2,2,0
Engineering,Human Resources Specialist,2.5935969868541005,5,1,1,1,6,1,3,3,0,0,2,0,3,0
Physics,AI Researcher,2.94558622361683,5,2,4,0,1,0,2,0,2,4,2,4,0,1
Physics,Urban Planner,4.381353266144491,9,0,0,0,1,1,0,2,3,0,4,0,4,0
Music,Urban Planner,4.465426934073514,3,0,4,1,5,0,0,0,0,4,4,1,3,1
Education,Web Developer,3.2900890242393306,8,0,1,0,9,0,2,1,3,4,2,4,3,1
Education,Chemist,3.4125260048750645,1,2,2,1,9,1,2,4,1,0,3,4,1,1
Computer Science,Curriculum Developer,2.949390120937499,9,1,0,0,8,1,0,2,2,1,3,3,3,1
Architecture,Special Education Teacher,3.1665338167075765,2,1,3,0,7,0,2,4,4,4,0,1,2,1
Chemistry,Art Therapist,3.1932766612621446,3,0,1,0,6,1,1,1,2,0,2,3,2,1
Education,School Counselor,4.475686171488989,7,0,0,1,1,0,2,0,4,1,3,3,2,1
Marketing,Zoologist,3.608637281138001,5,1,1,0,4,1,0,3,4,1,2,3,1,0
Medicine,Pharmacist,4.811073647498056,3,2,1,0,1,1,4,3,1,2,3,1,2,0
Art,Mechanical Engineer,4.380067670132482,0,1,1,0,2,0,2,0,2,1,4,0,2,0
Biology,Ecologist,3.8022381598420143,7,0,2,1,3,0,0,4,2,1,2,2,2,0
Medicine,AI Researcher,3.0073122357979876,7,2,3,0,3,0,4,3,2,4,1,0,4,1
Chemistry,Entrepreneur,4.723928057774975,3,1,0,1,4,1,0,1,1,0,3,3,4,1
Finance,Forensic Psychologist,3.095225235115503,9,2,3,0,9,1,4,2,3,0,1,1,0,1
Medicine,Organic Chemist,4.6867175240500245,7,1,1,0,9,0,4,3,3,3,0,3,1,1
Marketing,Ecologist,2.9438415734234544,4,1,1,0,1,1,2,3,3,2,2,2,1,1
Art,Manager,3.9160673963891948,9,2,4,0,6,1,4,0,4,4,4,1,1,1
Music,Game Developer,3.6870444981969177,8,0,0,1,8,1,4,4,2,0,4,0,3,0
Architecture,Physicist,3.0095109031999425,2,1,4,1,7,0,2,4,2,0,4,0,0,1
Psychology,Education Administrator,3.7966032955865923,1,2,1,1,5,0,0,2,4,0,4,0,4,1
Medicine,Analytical Chemist,2.99042592151177,8,1,1,1,3,1,3,2,1,2,1,3,0,1
Art,Web Developer,2.5802454799178904,7,2,0,0,9,1,1,1,4,4,0,3,0,0
Physics,Mechanical Engineer,4.192292466411468,9,2,0,0,7,1,3,2,4,4,1,0,1,0
Engineering,Financial Analyst,3.1386993567472876,8,2,2,0,1,1,0,4,0,1,2,2,4,1
Engineering,Zoologist,3.8931025202332314,0,0,3,0,6,1,2,2,3,1,1,1,2,0
Psychology,Lawyer,4.847733023436303,4,2,2,0,1,0,4,4,3,2,1,3,2,0
Architecture,Software Developer,4.358072256935617,7,1,0,1,4,0,2,4,3,0,3,2,2,0
Architecture,Dentist,4.181732611268475,9,1,4,1,2,0,0,3,3,4,1,2,4,1
Medicine,Biochemist,3.434963196208907,4,0,2,0,8,1,1,4,0,4,0,4,4,0
Computer Science,Biomedical Engineer,3.258756030766617,9,1,4,0,3,1,1,1,4,1,3,2,2,0
Music,Graphic Designer,2.5520166944475915,8,1,1,0,1,1,4,2,2,2,0,4,3,0
Education,Acoustics Specialist,4.182039853314449,7,0,1,1,2,0,1,4,0,4,2,1,4,1
Finance,Organic Chemist,2.7096481438324584,4,0,1,1,8,1,2,4,2,0,0,4,0,0
Medicine,Art Therapist,4.355762068586434,8,2,3,1,5,1,4,0,4,3,1,2,3,1
Architecture,Legal Analyst,4.514888580790476,4,1,3,1,7,1,0,1,2,1,1,1,1,1
Architecture,Legal Analyst,4.384219984452782,5,0,0,0,9,0,2,4,0,2,1,3,4,0
Psychology,Conductor,2.6580456492697717,6,2,3,1,8,1,0,1,2,3,3,4,0,0
Art,Industrial-Organizational Psychologist,3.0450135882578455,3,2,4,0,2,1,3,2,2,3,3,0,2,1
Music,Digital Marketing Specialist,3.248899755346596,3,1,1,1,5,0,3,0,0,1,4,1,4,1
Law,Biomedical Engineer,4.364349437105345,7,0,0,0,7,1,0,0,0,1,4,0,2,0
Biology,School Psychologist,4.420675706748641,8,0,0,0,5,0,0,0,2,2,2,1,3,1
Engineering,Acoustics Specialist,4.799340211612873,0,1,0,1,2,0,0,2,3,0,1,4,1,1
Chemistry,Doctor,3.4216710111908157,9,1,4,0,4,0,1,4,0,4,3,3,2,0
Education,Market Research Analyst,3.0111774179376214,9,1,3,1,4,0,2,0,1,1,4,1,3,1
Law,Geneticist,3.6230761408730245,7,0,0,1,3,0,0,1,3,4,2,2,3,1
Education,Game Developer,3.7044171160731096,1,1,0,1,2,0,3,1,3,3,1,0,3,0
Psychology,Inorganic Chemist,3.398639097010835,6,1,4,1,6,0,1,3,3,4,2,2,1,1
Art,Inorganic Chemist,3.047195456168037,0,1,0,0,5,1,0,2,2,0,4,3,0,0
Biology,Graphic Designer,4.958107163843589,7,1,0,0,3,0,2,4,1,1,3,4,1,0
Art,Game Developer,3.421604509245557,2,1,4,1,4,0,4,4,3,3,4,0,4,1
Business,Market Research Analyst,2.852955489421442,2,2,0,1,4,1,2,3,1,3,4,3,1,0
Marketing,Legal Analyst,4.550546248861483,3,1,1,1,0,0,1,1,4,1,2,1,1,1
Computer Science,Accountant,3.2354152963597644,6,0,4,1,9,0,2,4,3,0,0,4,1,0
Marketing,Quantum Physicist,3.0071736994619025,0,2,1,0,7,0,4,1,3,0,1,1,2,1
Finance,Legal Secretary,3.5208002211110783,1,0,3,1,0,1,1,1,4,4,1,4,0,1
Law,Construction Manager,3.3092284413522437,1,1,0,0,8,1,4,2,3,4,1,2,3,1
Business,Biologist,3.573058524694703,2,0,4,1,7,1,2,4,2,0,0,4,1,1
Computer Science,Accountant,3.198987256308981,9,0,2,0,3,1,3,1,2,1,1,4,1,0
Computer Science,Lawyer,3.384124871500285,0,1,2,0,6,0,1,2,4,4,0,2,2,1
Music,Counselor,3.560052015103816,2,0,4,1,2,1,2,0,1,3,3,0,2,1
Music,Landscape Architect,3.8161919359196017,5,1,4,1,0,0,3,3,4,0,4,2,0,0
Medicine,School Counselor,4.35300796606308,5,2,1,0,6,0,2,4,3,3,0,0,0,0
Education,Quantum Physicist,3.5686060248902,4,0,1,1,1,0,4,2,2,2,3,0,3,0
Music,Legal Secretary,3.8555790495112614,6,0,3,0,3,0,1,1,1,0,4,1,3,1
Psychology,Aerospace Engineer,4.046469287495525,4,1,3,0,9,0,3,1,4,1,4,2,1,0
Education,Art Therapist,3.4580917830633515,7,0,1,1,3,1,4,4,4,2,3,0,1,0
Engineering,Advertising Manager,4.048454688916041,3,1,3,0,9,1,2,4,2,1,2,2,3,0
Biology,Digital Marketing Specialist,4.63885156998084,6,2,1,1,6,0,0,2,1,3,0,4,1,1
Law,Chemical Engineer,3.6228341721742288,1,1,2,0,4,1,0,3,0,1,2,2,0,1
Education,Counselor,3.7988340410715273,8,0,1,0,6,0,4,2,2,4,4,3,1,1
Biology,Market Research Analyst,2.852429858196553,5,1,3,1,7,0,3,4,4,3,1,0,2,0
Art,School Counselor,3.1304151494586883,3,1,3,0,0,1,1,3,2,1,4,2,3,1
Law,Illustrator,3.328914815675177,6,2,1,0,7,1,4,3,1,4,2,4,2,1
Medicine,Credit Analyst,3.1619473419166746,7,2,2,1,5,0,2,1,1,0,3,0,3,1
Education,Microbiologist,4.303533775892004,9,1,3,0,5,0,1,2,0,0,2,2,2,1
Biology,Ecologist,2.7904413922508366,1,2,0,1,4,1,1,3,2,2,4,3,2,1
Law,Special Education Teacher,4.238893036243992,3,1,4,0,4,1,2,3,3,3,4,2,1,1
Biology,Civil Engineer,2.5399903267953503,6,1,0,0,0,0,3,4,1,3,3,2,0,0
Business,Dentist,2.9416011041809416,7,0,0,1,3,1,0,3,1,4,0,0,0,1
Medicine,Teacher,4.940371602913068,1,2,1,1,3,1,1,1,3,3,1,2,1,0
Computer Science,Doctor,3.291704858666088,1,2,2,1,8,1,2,2,2,0,0,3,3,0
Marketing,Industrial-Organizational Psychologist,4.820094943615393,7,2,2,1,8,0,1,1,3,2,2,1,2,0
Biology,Art Therapist,3.5508029159086796,3,2,0,1,8,0,0,3,1,1,4,0,3,1
Marketing,Human Resources Specialist,3.1777017841590913,1,0,4,0,5,0,2,0,2,3,0,4,3,1
Marketing,Lawyer,4.191490181039655,8,1,0,0,3,1,4,3,2,4,4,4,0,1
Law,Data Scientist,3.821968986961247,8,1,0,1,3,1,1,3,3,4,3,3,2,1
Psychology,Legal Consultant,4.466914959242764,9,0,3,0,8,1,0,1,1,0,2,3,0,1
Art,Chemist,3.3337585095565876,9,1,4,1,1,0,1,1,1,1,2,2,2,1
Biology,Data Scientist,4.979475684714653,8,0,2,0,8,1,4,1,3,3,0,2,0,0
Engineering,Electrical Engineer,3.7678799521430575,9,1,3,1,7,1,3,2,1,0,2,2,0,0
Art,Entrepreneur,3.38755532156533,0,0,1,0,7,1,0,0,1,1,4,0,1,0
Psychology,Paralegal,4.522731014017449,7,1,0,1,6,0,0,2,2,0,1,4,3,1
Architecture,Financial Analyst,3.157548874797583,0,1,2,0,8,1,2,4,0,4,1,1,4,1
Finance,Urban Planner,3.695244282107534,7,2,4,0,1,0,1,4,0,0,3,1,2,1
Business,Digital Marketing Specialist,4.8782926555645325,3,1,1,1,2,0,0,2,2,2,1,4,0,1
Architecture,Conductor,4.556228820852567,7,1,3,0,0,1,1,2,2,2,2,0,1,1
Chemistry,Electrical Engineer,3.968524573906193,1,2,3,0,3,0,3,1,4,1,4,0,0,1
Marketing,Credit Analyst,4.336482309268378,2,2,4,0,5,1,1,0,1,2,1,0,2,0
Marketing,Chemical Engineer,2.9924512054054717,2,2,1,0,4,1,3,0,2,2,3,0,1,1
Biology,Paralegal,3.7300638611327983,9,1,2,0,0,1,0,1,3,2,0,3,3,1
Engineering,Analytical Chemist,3.4422963187950955,1,0,0,0,3,0,2,2,2,4,2,4,4,0
Architecture,Psychologist,3.7343875161721893,6,2,3,0,6,0,2,2,4,1,1,3,0,1
Law,Illustrator,2.831578127156459,5,1,0,0,4,1,3,4,4,4,2,2,2,0
Education,Inorganic Chemist,3.315966414031691,6,2,3,0,0,1,1,0,1,3,3,2,0,1
Education,Financial Controller,3.1702510004555546,6,2,3,0,5,0,1,3,0,3,1,1,4,0
Architecture,Dentist,4.144198442757118,1,0,2,1,2,0,0,3,2,0,2,3,2,0
Marketing,Data Scientist,4.144980698650857,5,2,0,1,0,0,0,0,3,1,3,1,4,1
Art,Marketing Manager,4.104639300784097,7,0,0,0,7,0,4,4,3,0,0,2,0,1
Chemistry,Counselor,3.2625677412696783,6,0,2,0,0,1,0,3,4,1,1,4,2,1
Art,Clinical Psychologist,4.538165118151939,4,2,2,0,6,0,4,2,4,0,0,3,0,0
Physics,Artist,4.649939558849141,4,2,3,0,7,1,0,2,0,4,0,3,1,0
Marketing,Actuary,3.332779822501046,7,2,1,0,4,0,1,2,4,1,1,1,0,1
Music,Biologist,3.9102520685720457,1,1,4,0,6,1,3,3,1,0,1,3,3,1
Engineering,Doctor,3.2915478947340984,6,0,3,1,9,1,1,4,0,4,3,1,1,0
Biology,Chemist,2.5965536186728224,8,1,1,0,4,1,1,3,1,4,3,0,0,0
Engineering,Biomedical Engineer,3.210882968068544,2,2,1,0,4,1,3,0,4,3,3,3,2,0
Computer Science,Judge,4.388289850881865,0,0,2,0,2,1,2,0,4,1,0,3,3,1
Music,Physical Chemist,4.931571765627327,8,0,4,0,0,0,4,2,4,2,4,4,2,0
Business,Sound Engineer,4.386505240065642,8,0,3,1,1,1,4,0,1,1,3,2,2,0
Architecture,Chemical Engineer,3.8205476556374918,6,0,0,1,8,1,3,1,2,4,4,4,3,0
Physics,Urban Planner,4.6917174916038356,6,0,1,1,6,1,2,1,1,4,4,4,4,0
Engineering,Acoustics Specialist,3.813824348697783,2,1,1,0,2,0,2,1,1,2,2,4,2,1
Medicine,Architect,2.7893558882909075,9,2,4,0,3,0,2,2,1,1,1,3,3,0
Chemistry,Entrepreneur,2.9155612971760574,7,2,4,1,1,0,1,2,1,1,2,3,0,0
Music,Electrical Engineer,2.7382712384174197,9,2,1,1,7,0,1,1,4,1,3,1,0,1
Law,Art Therapist,2.817219423086699,1,1,1,0,9,1,1,2,2,4,2,4,0,1
Finance,Music Teacher,4.8586016411448885,2,1,2,1,9,0,2,2,2,4,3,3,2,1
Marketing,Mechanical Engineer,2.86951861261158,5,2,1,0,2,0,3,3,0,4,0,3,0,1
Psychology,Aerospace Engineer,2.5404550932082537,5,1,2,1,5,0,3,3,0,2,1,3,3,1
Education,Microbiologist,3.954866351312443,6,2,3,0,2,0,2,1,4,2,2,4,1,1
Marketing,School Psychologist,3.8872278160326257,8,0,2,0,6,1,3,3,4,1,4,1,3,0
Medicine,Biochemist,2.7899718164405223,9,1,3,1,2,0,1,0,3,4,4,4,4,0
Physics,Biomedical Engineer,4.1466770346309225,6,0,3,1,0,0,2,1,1,1,4,1,4,0
Art,Inorganic Chemist,4.435435195597571,0,0,3,1,0,0,2,0,1,0,2,0,0,0
Physics,Chemist,3.6004737006514045,8,2,1,0,8,1,3,4,4,3,2,2,2,0
Psychology,Biomedical Engineer,3.386066122147475,3,0,2,0,3,1,2,0,0,4,4,4,4,0
